Company Name,Address,Phone,Link,Rating,NumReview,Pin Code,Latitude,Longitude
Sri Krishna Garden,"International Air Port Road, International Airport, Bangalore - 560300, Near NH 7,Kannmangala Gate, Opposite Bisleri Factory , Near International Air Port ,Devanahalli.",+(91)-9945393959,https://www.justdial.com/Bangalore/Sri-Krishna-Garden-Near-NH-7-Kannmangala-Gate-Opposite-Bisleri-Factory-Near-International-Air-Port-Devanahalli-International-Airport/080PXX80-XX80-150708160952-N2F9_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.7,3367,560300,13.19921574,77.70447535
Trend Setters,"No 91/b1, 6th B Cross First Floor, Yelahanka New Town, Bangalore - 560064, Opp Road to A Star Clinic. Near By Reliance Fresh",+(91)-80-42121029,https://www.justdial.com/Bangalore/Trend-Setters-Opp-Road-to-A-Star-Clinic-Near-By-Reliance-Fresh-Yelahanka-New-Town/080PXX80-XX80-180427141058-K1F9_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,4.1,142,560064,13.10010383,77.58845992
Cut Mate.,"No 60/1 1st Floor Big Market Singanayakana Halli, Doddaballapura Main Road, Yelahanka, Bangalore - 560064, Opp Bhagini Restaurant",07947165435,https://www.justdial.com/Bangalore/Cut-Mate-Opp-Bhagini-Restaurant-Yelahanka/080PXX80-XX80-191203174038-J8X1_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,4.8,71,560064,13.10010383,77.58845992
Beauty Studio,"8, Jakkur Layout, Bangalore - 560064, Jakkur Airodrum",+(91)-9845356407,https://www.justdial.com/Bangalore/Beauty-Studio-Jakkur-Airodrum-Jakkur-Layout/080PXX80-XX80-180726133022-M1Q9_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,4.8,21,560064,13.10010383,77.58845992
Iva Unisex Salon and Spa,"314 MRR Square HIG A &amp; Sector, Chikka Bommasandra, Yelahanka New Town, Bangalore - 560064, Next to Black and White",07947155342,https://www.justdial.com/Bangalore/Iva-Unisex-Salon-and-Spa-Next-to-Black-and-White-Yelahanka-New-Town/080PXX80-XX80-201110140824-I4T4_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,4.3,20,560064,13.10010383,77.58845992
Kushi Home Salon,"No 1, Kogilu Road, Yelahanka New Town, Bangalore - 560064, Kogilu Road Cross",07947166045,https://www.justdial.com/Bangalore/Kushi-Home-Salon-Kogilu-Road-Cross-Yelahanka-New-Town/080PXX80-XX80-200208184229-J8A4_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,5.0,15,560064,13.10010383,77.58845992
Vanilla Spa & Salon,"S L N COMPLEX 3rd Floor, Dairy Cross, Yelahanka New Town, Bangalore - 560064, Opp Udupi Grand Hotel",07947449491,https://www.justdial.com/Bangalore/Vanilla-Spa-Salon-Opp-Udupi-Grand-Hotel-Yelahanka-New-Town/080PXX80-XX80-201006173444-H3T4_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,4.4,8,560064,13.10010383,77.58845992
Shrungar Beauty And Spa Onl..,"KHP SHOPPING, BANGALORE ONE, Yelahanka New Town, Bangalore - 560064, Near Baroda Bank",07947254477,https://www.justdial.com/Bangalore/Shrungar-Beauty-And-Spa-Only-Women-Near-Baroda-Bank-Yelahanka-New-Town/080PXX80-XX80-201125180553-S4M5_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,3.5,2,560064,13.10010383,77.58845992
Loren Care Salon And Spa,"Shop No. K&amp;L Survey No.23, Kogilu Layout Srinivaspur, Kogilu, Bangalore - 560064, OPP AMRUTH HOSPITAL YELAHANKAosite",07947165981,https://www.justdial.com/Bangalore/Loren-Care-Salon-And-Spa-OPP-AMRUTH-HOSPITAL-YELAHANKAosite-Kogilu/080PXX80-XX80-210128160740-Y6G6_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,5.0,2,560064,13.10010383,77.58845992
THE LAVISH SALON AND SPA,"House No.09, Govt School Road Addeviswanathpura, Rajanukunte, Bangalore - 560064, Near Govt School",07947162133,https://www.justdial.com/Bangalore/THE-LAVISH-SALON-AND-SPA-Near-Govt-School-Rajanukunte/080PXX80-XX80-210325163709-V2G4_BZDET?xid=QmFuZ2Fsb3JlIFNhbG9ucw==,5.0,1,560064,13.10010383,77.58845992
Eesha Yoga & Organic Cente..,"No. S 301, Aruna Pinewood Apt, Veera Sagara Road, Attur Layout, Yelahanka New Town, Bangalore - 560064, Near Mother Dairy",07947082486,https://www.justdial.com/Bangalore/Eesha-Yoga-Organic-Center-Near-Mother-Dairy-Yelahanka-New-Town/080PXX80-XX80-140623134159-D1Q7_BZDET?xid=QmFuZ2Fsb3JlIFlvZ2EgQ2xhc3Nlcw==,4.4,49,560064,13.10010383,77.58845992
Shashi Shivas School Of Dan..,"No:5 CQAL Layout Attur Post, 2nd Main 5th Phase, Yelahanka New Town, Bangalore - 560064, Near:5th Phase Neha Prakash Hospital",07947313362,https://www.justdial.com/Bangalore/Shashi-Shivas-School-Of-Dance-D-FACES-Near-5th-Phase-Neha-Prakash-Hospital-Yelahanka-New-Town/080PXX80-XX80-160920163955-Y1E8_BZDET?xid=QmFuZ2Fsb3JlIFlvZ2EgQ2xhc3Nlcw==,3.6,11,560064,13.10010383,77.58845992
